3_0; 3_1; 3_2; 3_3; 3_4; 3_5; 3_6; 3_7; 3_8; 3_9; 3_10; 3_11; 3_12
big ( [b-b] [i-ɪ] [g-g] ); perhaps # per-haps pə.ˈhæps ( [p-p] [er-ə] [h-h] [a-æ] [p-p] [s-s] ) NULL; toward # to-ward tə.ˈwɔːd ( [t-t] [o-ə] [w-w] [ar-ɔː] [d-d] ) NULL; cycle # cyc-le ˈsaɪk.əl ( [c-s] [y-aɪ] [c-k] [le-əl] ) NULL; police # po-lice pə.ˈliːs ( [p-p] [o-ə] [l-l] [i-iː] [ce-s] ) NULL;  ; edit # ed-it ˈed.ɪt ( [e-e] [d-d] [i-ɪ] [t-t] ) NULL;  ;  ; power # pow-er ˈpaʊ.ə ( [p-p] [ow-aʊ] [er-ə] ) NULL; whatever # what-e-ver wɒt.ˈe.və ( [wh-w] [a-ɒ] [t-t] [e-e] [v-v] [er-ə] ) NULL; relatively # re-la-ti-vely ˈre.lə.tɪ.vli ( [r-r] [e-e] [l-l] [a-ə] [t-t] [i.e-ɪ] [v-v] [l-l] [y-i] ) ly; flexibility # flex-i-bi-li-ty ˌflek.sə.ˈbɪ.lɪ.ti ( [f-f] [l-l] [e-e] [x-ks] [i-ə] [b-b] [i-ɪ] [l-l] [i-ɪ] [t-t] [y-i] ) ility
have ( [h-h] [a-æ] [v-v] [e-] ); ally # al-ly ˈæ.laɪ ( [a-æ] [ll-l] [y-aɪ] ) NULL; enough # e-nough ɪ.ˈnʌf ( [e-ɪ] [n-n] [ou-ʌ] [gh-f] ) NULL; anger # an-ger ˈæŋ.gə ( [a-æ] [n-ŋ] [g-g] [er-ə] ) NULL; leader # lea-der ˈliː.də ( [l-l] [ea-iː] [d-d] [er-ə] ) NULL;  ; vital # vit-al ˈvaɪt.əl ( [v-v] [i-aɪ] [t-t] [a-ə] [l-l] ) al;  ;  ; until # un-til ʌn.ˈtɪl ( [u-ʌ] [n-n] [t-t] [i-ɪ] [l-l] ) NULL; strategy # stra-te-gy ˈstræ.tə.dʒi ( [s-s] [t-t] [r-r] [a-æ] [t-t] [e-ə] [g-dʒ] [y-i] ) NULL; regulation # re-gu-la-tion ˌre.gjʊ.ˈleɪʃ.ən ( [r-r] [e-e] [g-g] [u-jʊ] [l-l] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; sensitivity # sen-si-ti-vi-ty ˌsen.sə.ˈtɪ.vɪ.ti ( [s-s] [e-e] [n-n] [s-s] [i-ə] [t-t] [i-ɪ] [v-v] [i-ɪ] [t-t] [y-i] ) ity
that ( [th-ð] [a-æ] [t-t] ); carry # car-ry ˈkæ.ri ( [c-k] [a-æ] [rr-r] [y-i] ) NULL; across # a-cross ə.ˈkrɒs ( [a-ə] [c-k] [r-r] [o-ɒ] [ss-s] ) NULL; essay # es-say e.ˈseɪ ( [e-e] [ss-s] [ay-eɪ] ) NULL; decide # de-cide dɪ.ˈsaɪd ( [d-d] [e-ɪ] [c-s] [i.e-aɪ] [d-d] ) NULL;  ; given # giv-en gɪv.ən ( [g-g] [i-ɪ] [v-v] [e-ə] [n-n] ) NULL;  ;  ; often # of-ten ˈɒf.tən ( [o-ɒ] [f-f] [t-t] [e-ə] [n-n] ) NULL; Democrat # de-mo-crat ˈde.mə.kræt ( [d-d] [e-e] [m-m] [o-ə] [c-k] [r-r] [a-æ] [t-t] ) NULL; difficulty # dif-fic-ul-ty ˈdɪ.fɪk.əl.ti ( [d-d] [i-ɪ] [ff-f] [i-ɪ] [c-k] [u-ə] [l-l] [t-t] [y-i] ) y; preliminary # pre-li-mi-na-ry prɪ.ˈlɪ.mɪ.nə.ri ( [p-p] [r-r] [e-ɪ] [l-l] [i-ɪ] [m-m] [i-ɪ] [n-n] [a-ə] [r-r] [y-i] ) NULL
with ( [w-w] [i-ɪ] [th-ð] ); table # tab-le ˈteɪb.əl ( [t-t] [a-eɪ] [b-b] [le-əl] ) NULL; nation # na-tion ˈneɪʃ.ən ( [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; inner # in-ner ˈɪ.nə ( [i-ɪ] [nn-n] [er-ə] ) NULL; against # a-gainst ə.ˈgenst ( [a-ə] [g-g] [ai-e] [n-n] [s-s] [t-t] ) NULL;  ; medal # med-al ˈmed.əl ( [m-m] [e-e] [d-d] [a-ə] [l-l] ) al;  ;  ; among # a-mong ə.ˈmʌŋ ( [a-ə] [m-m] [o-ʌ] [ng-ŋ] ) NULL; cultural # cul-tu-ral ˈkʌl.tʃə.rəl ( [c-k] [u-ʌ] [l-l] [t-tʃ] [u-ə] [r-r] [a-ə] [l-l] ) al; impossible # im-pos-sib-le ɪm.ˈpɒ.səb.əl ( [i-ɪ] [m-m] [p-p] [o-ɒ] [ss-s] [i-ə] [b-b] [le-əl] ) NULL; emotionally # e-mo-tio-nal-ly ɪ.ˈməʊ.ʃə.nə.li ( [e-ɪ] [m-m] [o-əʊ] [ti-ʃ] [o-ə] [n-n] [a-ə] [ll-l] [y-i] ) NULL
this ( [th-ð] [i-ɪ] [s-s] ); order # or-der ˈɔː.də ( [or-ɔː] [d-d] [er-ə] ) NULL; behind # be-hind bɪ.ˈhaɪnd ( [b-b] [e-ɪ] [h-h] [i-aɪ] [n-n] [d-d] ) NULL; index # in-dex ˈɪn.deks ( [i-ɪ] [n-n] [d-d] [e-e] [x-ks] ) NULL; believe # be-lieve bɪ.ˈliːv ( [b-b] [e-ɪ] [l-l] [ie.e-iː] [v-v] ) NULL;  ; exact # ex-act ɪg.ˈzækt ( [e-ɪ] [x-gz] [a-æ] [c-k] [t-t] ) NULL;  ;  ; later # la-ter ˈleɪ.tə ( [l-l] [a-eɪ] [t-t] [er-ə] ) NULL; suddenly # sud-den-ly sʌd.ən.li ( [s-s] [u-ʌ] [dd-d] [e-ə] [n-n] [l-l] [y-i] ) NULL; ultimately # ul-ti-mate-ly ˈʌl.tɪ.mət.li ( [u-ʌ] [l-l] [t-t] [i-ɪ] [m-m] [a-ə] [t-t] [e-] [l-l] [y-i] ) NULL; considerable # con-si-de-rab-le kən.ˈsɪ.də.rəb.əl ( [c-k] [o-ə] [n-n] [s-s] [i-ɪ] [d-d] [e-ə] [r-r] [a-ə] [b-b] [le-əl] ) able
they ( [th-ð] [ey-eɪ] ); enter # en-ter ˈen.tə ( [e-e] [n-n] [t-t] [er-ə] ) NULL; remain # re-main rɪ.ˈmeɪn ( [r-r] [e-ɪ] [m-m] [ai-eɪ] [n-n] ) NULL; action # ac-tion ˈæk.ʃən ( [a-æ] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL; provide # pro-vide prə.ˈvaɪd ( [p-p] [r-r] [o-ə] [v-v] [i.e-aɪ] [d-d] ) NULL;  ; toxic # tox-ic ˈtɒk.sɪk ( [t-t] [o-ɒ] [x-ks] [i-ɪ] [c-k] ) NULL;  ;  ; level # lev-el ˈlev.əl ( [l-l] [e-e] [v-v] [el-əl] ) NULL; employee # em-ploye-e ˌem.plɔɪ.ˈiː ( [e-e] [m-m] [p-p] [l-l] [oy-ɔɪ] [ee-iː] ) NULL; politician # po-li-ti-cian ˌpɒ.lɪ.ˈtɪʃ.ən ( [p-p] [o-ɒ] [l-l] [i-ɪ] [t-t] [i-ɪ] [ci-ʃ] [a-ə] [n-n] ) NULL; agricultural # ag-ri-cul-tu-ral ˌæg.rɪ.ˈkʌl.tʃə.rəl ( [a-æ] [g-g] [r-r] [i-ɪ] [c-k] [u-ʌ] [l-l] [t-tʃ] [u-ə] [r-r] [a-ə] [l-l] ) al
from ( [f-f] [r-r] [o-ɒ] [m-m] ); occur # oc-cur əˈk.ɜː ( [o-ə] [cc-k] [ur-ɜː] ) NULL; report # re-port rɪ.ˈpɔːt ( [r-r] [e-ɪ] [p-p] [or-ɔː] [t-t] ) NULL; couple # coup-le ˈkʌp.əl ( [c-k] [ou-ʌ] [p-p] [le-əl] ) NULL; several # se-veral ˈse.vrəl ( [s-s] [e-e] [v-v] [e-] [r-r] [a-ə] [l-l] ) al;  ; vocal # voc-al ˈvəʊk.əl ( [v-v] [o-əʊ] [c-k] [a-ə] [l-l] ) al;  ;  ; allow # al-low ə.ˈlaʊ ( [a-ə] [ll-l] [ow-aʊ] ) NULL; specific # spe-ci-fic spə.ˈsɪ.fɪk ( [s-s] [p-p] [e-ə] [c-s] [i-ɪ] [f-f] [i-ɪ] [c-k] ) NULL; opposition # op-po-si-tion ˌɒ.pə.ˈzɪʃ.ən ( [o-ɒ] [pp-p] [o-ə] [s-z] [i-ɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; experimental # ex-pe-ri-men-tal ɪk.ˌspe.rɪ.ˈmen.təl ( [e-ɪ] [x-ks] [p-p] [e-e] [r-r] [i-ɪ] [m-m] [e-e] [n-n] [t-t] [a-ə] [l-l] ) al
what ( [wh-w] [a-ɒ] [t-t] ); seven # sev-en ˈsev.ən ( [s-s] [e-e] [v-v] [e-ə] [n-n] ) NULL; police # po-lice pə.ˈliːs ( [p-p] [o-ə] [l-l] [i-iː] [ce-s] ) NULL; centre # cen-ter ˈsen.tə ( [c-s] [e-e] [n-n] [t-t] [re-ə] ) NULL; process # pro-cess ˈprəʊ.ses ( [p-p] [r-r] [o-əʊ] [c-s] [e-e] [ss-s] ) NULL;  ; dining # din-ing ˈdaɪn.ɪŋ ( [d-d] [i-aɪ] [n-n] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; party # par-ty ˈpɑː.ti ( [p-p] [ar-ɑː] [t-t] [y-i] ) y; politics # po-li-tics ˈpɒ.lɪ.tɪks ( [p-p] [o-ɒ] [l-l] [i-ɪ] [t-t] [i-ɪ] [c-k] [s-s] ) NULL; curriculum # cur-ri-cu-lum kə.ˈrɪ.kjʊ.ləm ( [c-k] [u-ə] [rr-r] [i-ɪ] [c-k] [u-jʊ] [l-l] [u-ə] [m-m] ) NULL; civilisation # ci-vi-li-za-tion ˌsɪ.vɪ.laɪ.ˈzeɪʃ.ən ( [c-s] [i-ɪ] [v-v] [i-ɪ] [l-l] [i-aɪ] [s-z] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
know ( [kn-n] [o-əʊ] [w-] ); happy # hap-py ˈhæp.i ( [h-h] [a-æ] [pp-p] [y-i] ) NULL; leader # lea-der ˈliː.də ( [l-l] [ea-iː] [d-d] [er-ə] ) NULL; matter # mat-ter ˈmæ.tə ( [m-m] [a-æ] [tt-t] [er-ə] ) NULL; require # re-quire rɪ.ˈkwaɪ.ə ( [r-r] [e-ɪ] [q-k] [u-w] [i-aɪ] [re-ə] ) NULL;  ; closer # clos-er ˈkləʊs.ə ( [c-k] [l-l] [o-əʊ] [s-s] [er-ə] ) NULL;  ;  ; maybe # may-be ˈmeɪ.biː ( [m-m] [ay-eɪ] [b-b] [e-iː] ) NULL; somebody # some-bo-dy ˈsʌm.bə.di ( [s-s] [o.e-ʌ] [m-m] [b-b] [o-ə] [d-d] [y-i] ) NULL; resolution # re-so-lu-tion ˌre.zə.ˈluːʃ.ən ( [r-r] [e-e] [s-z] [o-ə] [l-l] [u-uː] [ti-ʃ] [o-ə] [n-n] ) NULL; productivity # pro-duc-tiv-i-ty ˌprɒ.dʌk.ˈtɪv.ɪ.ti ( [p-p] [r-r] [o-ɒ] [d-d] [u-ʌ] [c-k] [t-t] [i-ɪ] [v-v] [i-ɪ] [t-t] [y-i] ) ity
make ( [m-m] [a.e-eɪ] [k-k] ); argue # ar-gue ˈɑː.gjuː ( [ar-ɑː] [g-g] [ue-juː] ) NULL; decide # de-cide dɪ.ˈsaɪd ( [d-d] [e-ɪ] [c-s] [i.e-aɪ] [d-d] ) NULL; itself # it-self ɪt.ˈself ( [i-ɪ] [t-t] [s-s] [e-e] [l-l] [f-f] ) NULL; copy # co-py ˈkɒ.pi ( [c-k] [o-ɒ] [p-p] [y-i] ) NULL;  ; shower # show-er ˈʃaʊ.ə ( [sh-ʃ] [ow-aʊ] [er-ə] ) NULL;  ;  ; early # ear-ly ˈɜː.li ( [ear-ɜː] [l-l] [y-i] ) NULL; discover # di-sco-ver dɪ.ˈskʌ.və ( [d-d] [i-ɪ] [s-s] [c-k] [o-ʌ] [v-v] [er-ə] ) NULL; immediately # im-me-diate-ly ɪ.ˈmiː.dɪət.li ( [i-ɪ] [mm-m] [e-iː] [d-d] [i-ɪ] [a-ə] [t-t] [e-] [l-l] [y-i] ) NULL; refrigerator # re-fri-ge-ra-tor rɪ.ˈfrɪ.dʒə.reɪ.tə ( [r-r] [e-ɪ] [f-f] [r-r] [i-ɪ] [g-dʒ] [e-ə] [r-r] [a-eɪ] [t-t] [or-ə] ) or
will ( [w-w] [i-ɪ] [ll-l] ); legal # leg-al ˈliːg.əl ( [l-l] [e-iː] [g-g] [a-ə] [l-l] ) al; problem # pro-blem ˈprɒ.bləm ( [p-p] [r-r] [o-ɒ] [b-b] [l-l] [e-ə] [m-m] ) NULL; doctor # doc-tor ˈdɒk.tə ( [d-d] [o-ɒ] [c-k] [t-t] [or-ə] ) or; Arab # a-rab ˈæ.rəb ( [a-æ] [r-r] [a-ə] [b-b] ) NULL;  ; cookie # cook-ie ˈkʊk.i ( [c-k] [oo-ʊ] [k-k] [ie-i] ) NULL;  ;  ; offer # of-fer ˈɒ.fə ( [o-ɒ] [ff-f] [er-ə] ) NULL; property # pro-per-ty ˈprɒ.pə.ti ( [p-p] [r-r] [o-ɒ] [p-p] [er-ə] [t-t] [y-i] ) ty; independent # in-de-pen-dent ˌɪn.dɪ.ˈpen.dənt ( [i-ɪ] [n-n] [d-d] [e-ɪ] [p-p] [e-e] [n-n] [d-d] [e-ə] [n-n] [t-t] ) NULL; Christianity # chris-ti-an-i-ty ˌkrɪs.tɪ.ˈæn.ɪ.tɪ ( [ch-k] [r-r] [i-ɪ] [s-s] [t-t] [i-ɪ] [a-æ] [n-n] [i-ɪ] [t-t] [y-ɪ] ) ity
year ( [y-j] [e-i] [ar-ə] ); enjoy # en-joy ɪn.ˈdʒoɪ ( [e-ɪ] [n-n] [j-dʒ] [oy-oɪ] ) NULL; against # a-gainst ə.ˈgenst ( [a-ə] [g-g] [ai-e] [n-n] [s-s] [t-t] ) NULL; window # win-dow ˈwɪn.dəʊ ( [w-w] [i-ɪ] [n-n] [d-d] [o-əʊ] [w-] ) NULL; iron # i-ron ˈaɪ.ən ( [i-aɪ] [ro-ə] [n-n] ) NULL;  ; govern # gov-ern ˈgʌv.ən ( [g-g] [o-ʌ] [v-v] [er-ə] [n-n] ) NULL;  ;  ; music # mu-sic ˈmjuː.zɪk ( [m-m] [u-juː] [s-z] [i-ɪ] [c-k] ) NULL; positive # po-si-tive ˈpɒ.zə.tɪv ( [p-p] [o-ɒ] [s-z] [i-ə] [t-t] [i.e-ɪ] [v-v] ) NULL; competition # com-pe-ti-tion ˌkɒm.pə.ˈtɪʃ.ən ( [c-k] [o-ɒ] [m-m] [p-p] [e-ə] [t-t] [i-ɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; metropolitan # me-tro-po-li-tan ˌme.trə.ˈpɒ.lɪ.tən ( [m-m] [e-e] [t-t] [r-r] [o-ə] [p-p] [o-ɒ] [l-l] [i-ɪ] [t-t] [a-ə] [n-n] ) NULL
time ( [t-t] [i.e-aɪ] [m-m] ); final # fin-al ˈfaɪn.əl ( [f-f] [i-aɪ] [n-n] [a-ə] [l-l] ) al; program # pro-gram ˈprəʊ.græm ( [p-p] [r-r] [o-əʊ] [g-g] [r-r] [a-æ] [m-m] ) NULL; nearly # near-ly ˈnɪə.li ( [n-n] [ear-ɪə] [l-l] [y-i] ) NULL; vary # va-ry ˈveə.ri ( [v-v] [a-eə] [r-r] [y-i] ) NULL;  ; timing # tim-ing ˈtaɪm.ɪŋ ( [t-t] [i-aɪ] [m-m] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; human # hu-man ˈhjuː.mən ( [h-h] [u-juː] [m-m] [a-ə] [n-n] ) NULL; magazine # ma-ga-zine ˌmæ.gə.ˈziːn ( [m-m] [a-æ] [g-g] [a-ə] [z-z] [i-iː] [n-n] [e-] ) NULL; responsible # re-spon-sib-le rɪ.ˈspɒn.sɪb.əl ( [r-r] [e-ɪ] [s-s] [p-p] [o-ɒ] [n-n] [s-s] [i-ɪ] [b-b] [le-əl] ) NULL; appreciation # ap-pre-ci-a-tion ə.ˌpriː.ʃi.ˈeɪʃ.ən ( [a-ə] [pp-p] [r-r] [e-iː] [ci-ʃi] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL
when ( [wh-w] [e-e] [n-n] ); apply # ap-ply ə.ˈplaɪ ( [a-ə] [pp-p] [l-l] [y-aɪ] ) NULL; believe # be-lieve bɪ.ˈliːv ( [b-b] [e-ɪ] [l-l] [ie.e-iː] [v-v] ) NULL; summer # sum-mer ˈsʌ.mə ( [s-s] [u-ʌ] [mm-m] [er-ə] ) NULL; wire # wi-re ˈwaɪ.ə ( [w-w] [i-aɪ] [re-ə] ) NULL;  ; eating # eat-ing ˈiːt.ɪŋ ( [ea-iː] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; local # lo-cal ˈləʊ.kəl ( [l-l] [o-əʊ] [c-k] [a-ə] [l-l] ) al; president # pre-si-dent ˈpre.zɪ.dənt ( [p-p] [r-r] [e-e] [s-z] [i-ɪ] [d-d] [e-ə] [n-n] [t-t] ) NULL; participate # par-ti-ci-pate pɑː.ˈtɪ.sɪ.peɪt ( [p-p] [ar-ɑː] [t-t] [i-ɪ] [c-s] [i-ɪ] [p-p] [a.e-eɪ] [t-t] ) NULL; availability # a-vai-la-bi-li-ty ə.ˌveɪ.lɪ.ˈbɪ.lə.ti ( [a-ə] [v-v] [ai-eɪ] [l-l] [a-ɪ] [b-b] [i-ɪ] [l-l] [i-ə] [t-t] [y-i] ) ility
them ( [th-ð] [e-ə] [m-m] ); worry # wor-ry ˈwʌ.ri ( [w-w] [o-ʌ] [rr-r] [y-i] ) NULL; provide # pro-vide prə.ˈvaɪd ( [p-p] [r-r] [o-ə] [v-v] [i.e-aɪ] [d-d] ) NULL; letter # let-ter ˈle.tə ( [l-l] [e-e] [tt-t] [er-ə] ) NULL; holy # ho-ly ˈhəʊ.li ( [h-h] [o-əʊ] [l-l] [y-i] ) NULL;  ; tribal # trib-al ˈtraɪb.əl ( [t-t] [r-r] [i-aɪ] [b-b] [a-ə] [l-l] ) al;  ;  ; major # ma-jor ˈmeɪ.dʒə ( [m-m] [a-eɪ] [j-dʒ] [or-ə] ) or; including # in-clud-ing ɪn.ˈkluːd.ɪŋ ( [i-ɪ] [n-n] [c-k] [l-l] [u-uː] [d-d] [i-ɪ] [ng-ŋ] ) NULL; application # ap-plic-a-tion ˌæ.plɪˈk.eɪʃ.ən ( [a-æ] [pp-p] [l-l] [i-ɪ] [c-k] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; considerably # con-si-de-ra-bly kən.ˈsɪ.də.rə.bli ( [c-k] [o-ə] [n-n] [s-s] [i-ɪ] [d-d] [e-ə] [r-r] [a-ə] [b-b] [l-l] [y-i] ) NULL
just ( [j-dʒ] [u-ə] [s-s] [t-t] ); owner # ow-ner ˈəʊ.nə ( [ow-əʊ] [n-n] [er-ə] ) NULL; nothing # no-thing ˈnʌ.θɪŋ ( [n-n] [o-ʌ] [th-θ] [i-ɪ] [ng-ŋ] ) NULL; factor # fac-tor ˈfæk.tə ( [f-f] [a-æ] [c-k] [t-t] [or-ə] ) or; bury # bu-ry ˈbe.ri ( [b-b] [u-e] [r-r] [y-i] ) NULL;  ; ruling # rul-ing ˈruːl.ɪŋ ( [r-r] [u-uː] [l-l] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; along # a-long ə.ˈlɒŋ ( [a-ə] [l-l] [o-ɒ] [ng-ŋ] ) NULL; according # ac-cord-ing əˈk.ɔːd.ɪŋ ( [a-ə] [cc-k] [or-ɔː] [d-d] [i-ɪ] [ng-ŋ] ) NULL; comfortable # com-for-ta-ble ˈkʌm.fər.tə.bəl ( [c-k] [o-ʌ] [m-m] [f-f] [o-ə] [r-r] [t-t] [a-ə] [b-b] [le-əl] ) able; deliberately # de-li-be-rate-ly dɪ.ˈlɪ.bə.rət.li ( [d-d] [e-ɪ] [l-l] [i-ɪ] [b-b] [e-ə] [r-r] [a-ə] [t-t] [e-] [l-l] [y-i] ) NULL
some ( [s-s] [o.e-ʌ] [m-m] ); exist # ex-ist ɪg.ˈzɪst ( [e-ɪ] [x-gz] [i-ɪ] [s-s] [t-t] ) NULL; several # se-veral ˈse.vrəl ( [s-s] [e-e] [v-v] [e-] [r-r] [a-ə] [l-l] ) al; common # com-mon ˈkɒ.mən ( [c-k] [o-ɒ] [mm-m] [o-ə] [n-n] ) NULL; event # e-vent ɪ.ˈvent ( [e-ɪ] [v-v] [e-e] [n-n] [t-t] ) NULL;  ; voting # vot-ing ˈvəʊt.ɪŋ ( [v-v] [o-əʊ] [t-t] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; model # mod-el ˈmɒd.əl ( [m-m] [o-ɒ] [d-d] [el-əl] ) NULL; attention # at-ten-tion ə.ˈten.ʃən ( [a-ə] [tt-t] [e-e] [n-n] [ti-ʃ] [o-ə] [n-n] ) NULL; investigate # in-ve-sti-gate ɪn.ˈve.stɪ.geɪt ( [i-ɪ] [n-n] [v-v] [e-e] [s-s] [t-t] [i-ɪ] [g-g] [a.e-eɪ] [t-t] ) NULL; economically # ec-o-no-mic-ally ˌiːk.ə.ˈnɒ.mɪk.əli ( [e-iː] [c-k] [o-ə] [n-n] [o-ɒ] [m-m] [i-ɪ] [c-k] [a-ə] [ll-l] [y-i] ) ly
take ( [t-t] [a.e-eɪ] [k-k] ); total # tot-al ˈtəʊt.əl ( [t-t] [o-əʊ] [t-t] [a-ə] [l-l] ) al; whether # whe-ther ˈwe.ðə ( [wh-w] [e-e] [th-ð] [er-ə] ) NULL; artist # ar-tist ˈɑː.tɪst ( [ar-ɑː] [t-t] [i-ɪ] [s-s] [t-t] ) ist; paper # pa-per ˈpeɪ.pə ( [p-p] [a-eɪ] [p-p] [er-ə] ) NULL;  ; weaken # weak-en ˈwiːk.ən ( [w-w] [ea-iː] [k-k] [e-ə] [n-n] ) NULL;  ;  ; value # va-lue ˈvæ.ljuː ( [v-v] [a-æ] [l-l] [ue-juː] ) NULL; condition # con-di-tion kən.ˈdɪʃ.ən ( [c-k] [o-ə] [n-n] [d-d] [i-ɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; combination # com-bi-na-tion ˌkɒm.bɪ.ˈneɪʃ.ən ( [c-k] [o-ɒ] [m-m] [b-b] [i-ɪ] [n-n] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; sophisticated # so-phi-stic-a-ted sə.ˈfɪ.stɪk.eɪ.tɪd ( [s-s] [o-ə] [ph-f] [i-ɪ] [s-s] [t-t] [i-ɪ] [c-k] [a-eɪ] [t-t] [e-ɪ] [d-d] ) NULL
your ( [y-j] [our-ə] ); admit # ad-mit əd.ˈmɪt ( [a-ə] [d-d] [m-m] [i-ɪ] [t-t] ) NULL; teacher # tea-cher ˈtiː.tʃə ( [t-t] [ea-iː] [ch-tʃ] [er-ə] ) NULL; attack # at-tack ə.ˈtæk ( [a-ə] [tt-t] [a-æ] [ck-k] ) NULL; image # i-mage ˈɪ.mɪdʒ ( [i-ɪ] [m-m] [a-ɪ] [ge-dʒ] ) NULL;  ; brutal # brut-al ˈbruːt.əl ( [b-b] [r-r] [u-uː] [t-t] [a-ə] [l-l] ) al;  ;  ; system # sy-stem ˈsɪ.stəm ( [s-s] [y-ɪ] [s-s] [t-t] [e-ə] [m-m] ) NULL; behaviour # be-ha-vior bɪ.ˈheɪ.vjə ( [b-b] [e-ɪ] [h-h] [a-eɪ] [v-v] [i-j] [our-ə] ) NULL; expectation # ex-pec-ta-tion ˌek.spek.ˈteɪʃ.ən ( [e-e] [x-ks] [p-p] [e-e] [c-k] [t-t] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; manufacturing # ma-nu-fac-tur-ing ˌmæ.njʊ.ˈfæk.tʃər.ɪŋ ( [m-m] [a-æ] [n-n] [u-jʊ] [f-f] [a-æ] [c-k] [t-tʃ] [u-ə] [r-r] [i-ɪ] [ng-ŋ] ) NULL
come ( [c-k] [o.e-ʌ] [m-m] ); sorry # sor-ry ˈsɒ.ri ( [s-s] [o-ɒ] [rr-r] [y-i] ) NULL; process # pro-cess ˈprəʊ.ses ( [p-p] [r-r] [o-əʊ] [c-s] [e-e] [ss-s] ) NULL; wonder # won-der ˈwʌn.də ( [w-w] [o-ʌ] [n-n] [d-d] [er-ə] ) NULL; cover # co-ver ˈkʌ.və ( [c-k] [o-ʌ] [v-v] [er-ə] ) NULL;  ; coming # com-ing ˈkʌm.ɪŋ ( [c-k] [o-ʌ] [m-m] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; during # dur-ing ˈdjʊər.ɪŋ ( [d-d] [u-jʊə] [r-r] [i-ɪ] [ng-ŋ] ) NULL; represent # re-pre-sent ˌriː.prɪ.ˈzent ( [r-r] [e-iː] [p-p] [r-r] [e-ɪ] [s-z] [e-e] [n-n] [t-t] ) NULL; interaction # in-te-rac-tion ˌɪn.tə.ˈræk.ʃən ( [i-ɪ] [n-n] [t-t] [e-ə] [r-r] [a-æ] [c-k] [ti-ʃ] [o-ə] [n-n] ) NULL; technological # tech-no-lo-gic-al ˌtek.nə.ˈlɒ.dʒɪk.əl ( [t-t] [e-e] [ch-k] [n-n] [o-ə] [l-l] [o-ɒ] [g-dʒ] [i-ɪ] [c-k] [a-ə] [l-l] ) al
than ( [th-ð] [a-æ] [n-n] ); dozen # doz-en ˈdʌz.ən ( [d-d] [o-ʌ] [z-z] [e-ə] [n-n] ) NULL; someone # some-one ˈsʌm.wʌn ( [s-s] [o.e-ʌ] [m-m] [one-wʌn] ) NULL; pretty # pret-ty ˈprɪ.ti ( [p-p] [r-r] [e-ɪ] [tt-t] [y-i] ) NULL; movie # mo-vie ˈmuː.vi ( [m-m] [o-uː] [v-v] [ie-i] ) NULL;  ; trading # trad-ing ˈtreɪd.ɪŋ ( [t-t] [r-r] [a-eɪ] [d-d] [i-ɪ] [ng-ŋ] ) NULL;  ;  ; number # num-ber ˈnʌm.bə ( [n-n] [u-ʌ] [m-m] [b-b] [er-ə] ) NULL; determine # de-ter-mine dɪ.ˈtɜː.mɪn ( [d-d] [e-ɪ] [t-t] [er-ɜː] [m-m] [i.e-ɪ] [n-n] ) NULL; conversation # con-ver-sa-tion ˌkɒn.və.ˈseɪʃ.ən ( [c-k] [o-ɒ] [n-n] [v-v] [er-ə] [s-s] [a-eɪ] [ti-ʃ] [o-ə] [n-n] ) NULL; traditionally # tra-di-tio-nal-ly trə.ˈdɪ.ʃə.nə.li ( [t-t] [r-r] [a-ə] [d-d] [i-ɪ] [ti-ʃ] [o-ə] [n-n] [a-ə] [ll-l] [y-i] ) NULL
